Version=2
Faroe Islands,Torshavn,-6.93,62.08
Fiji,Suva,178.5,-18.1
Finland,Helsinki,25.05,60.25
France,Paris,2.2,48.5
French Guiana,Cayenne,-52.3,5.08
French Polynesia,Papeete,-149.57,-17.53
Gabon,Libreville,9.43,0.42
Gambia,Banjul,-16.67,13.47
Georgia,T'bilisi,44.83,41.72
Germany,Berlin,13.25,52.3
Ghana,Accra,-0.1,5.58
Greece,Athens,23.77,37.97
Greenland,Nuuk,-51.58,64.17
Guadeloupe,Basse-Terre,-61.73,16
Guatemala,Guatemala,-90.37,14.67
Guernsey,St. Peter Port,-2.55,49.43
Guinea,Conakry,-13.82,9.48
Guinea-Bissau,Bissau,-15.75,11.75
Guyana,Georgetown,-58.2,6.83
Haiti,Port-au-Prince,-72.33,18.67
Heard Island and McDonald Islands,,75.67,-54.67
Honduras,Tegucigalpa,-87.23,14.08
Hungary,Budapest,19.08,47.48
Iceland,Reykjavik,-21.95,64.17
India,Bombay,72.83,18.97
India,New Delhi,77.22,28.62
Indonesia,Jakarta,106.82,-6.15
Iran (Islamic Republic of),Tehran,51.5,35.73
Iraq,Baghdad,44.5,33.33
Ireland,Dublin,-6.25,53.35
Israel,Jerusalem,-35.17,32.18
Italy,Aviano,12.6,46.03
Italy,Rome,12.29,41.54
Jamaica,Kingston,-76.83,18
Jordan,Amman,35.87,31.95
Kazakhstan,Astana,71.5,51.17
Kenya,Nairobi,36.8,-1.28
Kiribati,Tarawa,174.67,1.5
Kuwait,Kuwait,49.67,29.5
Kyrgyzstan,Bishkek,74.77,42.9
Lao People's Democratic Republic,Vientiane,102.6,17.97
Latvia,Riga,24.13,56.88
Lebanon,Beirut,35.52,33.88
Lesotho,Maseru,27.5,-29.3
Liberia,Monrovia,-10.78,6.3
Libyan Arab Jamahiriya,Tripoli,13.12,32.82
Liechtenstein,Vaduz,9.52,47.13
Lithuania,Vilnius,25.32,54.63
Luxembourg,Luxembourg,6.15,49.62
Macau,Macau,113.55,22.2
Macedonia,Skopje,21.43,42.02
Madagascar,Antananarivo,47.52,-18.92
Malawi,Lilongwe,33.8,-15.67
Malaysia,Kuala Lumpur,101.68,3.15
Maldives,Male,73.47,4
Mali,Bamako,-7.92,12.57
Malta,Valletta,14.52,35.9
Martinique,Fort-de-France,-61.03,14.6
Mauritania,Nouakchott,57.5,-20.17
Mayotte,Mamoudzou,45.23,-12.8
Mexico,Mexico,-99.17,19.33
Micronesia,Palikir,158.15,6.92
Moldova Republic of,Chisinau,28.83,47.03
Mozambique,Maputo,32.53,-25.97
Myanmar,Yangon,96.33,16.75
Namibia,Windhoek,17.07,-22.58
Nepal,Kathmandu,85.33,27.75
Netherlands,Amsterdam,4.87,52.35
Netherlands Antilles,Willemstad,-69,12.08
New Caledonia,Noumea,166.5,-22.28
New Zealand,Auckland,174.75,-36.88
New Zealand,Wellington,174.77,-41.32
Nicaragua,Managua,-86.33,12.1
Niger,Niamey,2.1,13.45
Nigeria,Abuja,7.53,9.08
Norfolk Island,Kingston,168.72,-45.33
Northern Mariana Islands,Saipan,145.75,15.2
Norway,Bergen,5.22,60.29
Norway,Oslo,10.75,59.92
Oman,Masqat,58.6,23.62
Pakistan,Islamabad,73.17,33.67
Palau,Koror,134.47,7.33
Panama,Panama,-79.42,9
Papua New Guinea,Port Moresby,147.13,-9.4
Paraguay,Asuncion,-57.5,-25.17
Peru,Lima,-77,-13.67
Philippines,Manila,121.05,14.67
Poland,Warsaw,22.67,52.22
Portugal,Lisbon,-9.17,38.7
Puerto Rico,San Juan,-66.12,18.47
Qatar,Doha,51.58,25.25
Rawanda,Kigali,30.07,-1.98
Republic of Korea,Seoul,126.97,37.52
Romania,Bucuresti,26.17,44.45
Russian Federation,Moskva,37.58,55.75
Saint Kitts and Nevis,Basseterre,-62.72,17.28
Saint Lucia,Castries,-60.97,14.03
Saint Pierre and Miquelon,Saint-Pierre,-56.2,46.77
Saint Vincent and the Grenadines,Kingstown,-61.17,13.17
Samoa,Apia,-171.83,-13.83
San Marino,San Marino,12.5,43.92
Sao Tome and Principe,Sao Tome,6.65,0.17
Saudi Arabia,Riyadh,46.7,24.68
Senegal,Dakar,-17.48,14.57
Sierra Leone,Freetown,-13.28,8.5
Slovakia,Bratislava,17.12,48.17
Slovenia,Ljubljana,14.55,46.07
